"","Year","nrc_negative","nrc_positive","nrc_ratio","copeopi","tw_negative","tw_positive","tw_ratio"
"1",1905,0.110885246030939,0.197439662066748,0.0865544160358088,0.0850930129564535,0.265626066480104,0.978978966168407,0.713352899688303
"2",1906,0.18617941374046,0.209528910371529,0.0233494966310687,0.0587759699819835,0.420640636692049,0.691365923871615,0.270725287179565
"3",1907,0.175607420990133,0.179797154087301,0.00418973309716747,0.0299841481321524,0.413732194474544,0.924367351494964,0.51063515702042
"4",1908,0.144749892481516,0.198824710114339,0.0540748176328222,0.0540799253147586,0.415928252307788,0.847530978066284,0.431602725758496
"5",1909,0.227576776598331,0.178480269021959,-0.0490965075763714,0.0176092956807414,0.868885869565217,0.542178790412486,-0.326707079152731
"6",1910,0.165716936270589,0.14305820872582,-0.0226587275447693,0.027108404378178,0.400156453715776,0.796978487614081,0.396822033898305
"7",1912,0.190410096753318,0.177181487444166,-0.0132286093091529,0.0398880880598168,0.473384312156375,0.904103498866314,0.430719186709939
"8",1914,0.217391304347826,0.0869565217391304,-0.130434782608696,-0.0447647523809524,0.476190476190476,0.476190476190476,0
"9",1915,0.134831270710759,0.182046166677938,0.0472148959671784,0.0889678707161259,0.503215495196627,0.794787131107886,0.291571635911259
"10",1916,0.200440528634361,0.213656387665198,0.013215859030837,0.0718117066066066,0.606606606606607,0.837837837837838,0.231231231231231
"11",1917,0.171135784831659,0.217199687997892,0.0460639031662328,0.0606996079728081,0.488356172573779,0.947872038756671,0.459515866182892
"12",1918,0.149944395077198,0.199716841664534,0.0497724465873357,0.0555254303387769,0.371500576036866,0.831497695852535,0.459997119815668
"13",1919,0.347826086956522,0.217391304347826,-0.130434782608696,-0.0147011771428571,0.857142857142857,0.457142857142857,-0.4
"14",1920,0.194915254237288,0.15819209039548,-0.0367231638418079,0.0396813931102362,0.381889763779528,0.736220472440945,0.354330708661417
"15",1921,0.158187211091591,0.211923355289705,0.0537361441981139,0.0426672071083467,0.431760302928944,0.776943960606086,0.345183657677143
"16",1922,0.206818181818182,0.0618181818181818,-0.145,-0.0309588116113054,0.742715617715618,0.49504662004662,-0.247668997668998
"17",1923,0.164914792295458,0.171657097389378,0.00674230509392035,0.0289160387283586,0.469320611592066,0.900865867646056,0.43154525605399
"18",1924,0.137548909446946,0.217189287732733,0.0796403782857869,0.0607639442036674,0.401444935047719,0.947479008077779,0.54603407303006
"19",1925,0.161706403888733,0.175649548896864,0.013943145008131,0.0559529193647392,0.426377467099724,0.852524843851292,0.426147376751568
"20",1926,0.286935522223972,0.106615773724048,-0.180319748499924,0.0073951150540159,0.712786478974383,0.619030256535306,-0.0937562224390773
"21",1928,0.215434083601286,0.221864951768489,0.00643086816720256,0.0542614484200743,0.579925650557621,0.886617100371747,0.306691449814126
"22",1929,0.127868852459016,0.254098360655738,0.126229508196721,0.0882913204189189,0.36036036036036,0.837837837837838,0.477477477477477
"23",1930,0.143839758125472,0.0983824640967498,-0.0454572940287226,-0.0110038332329932,0.501303854875284,0.636507936507936,0.135204081632653
"24",1931,0.188325111580926,0.202184637068358,0.0138595254874325,0.0365059594807268,0.562615022144923,0.842695209011669,0.280080186866746
"25",1933,0.111111111111111,0.111111111111111,0,-0.383333333333333,1,0,-1
"26",1934,0.136940544314464,0.0749015765888351,-0.0620389677256294,-0.0812530938706202,0.644887640298263,0.612031408512482,-0.0328562317857807
"27",1935,0.213759886074758,0.122562317578382,-0.0911975684963751,0.0195968637745322,0.495245957158581,0.760401320802642,0.265155363644061
"28",1936,0.20116214743654,0.129258087483203,-0.071904059953337,0.0502533373445042,0.285652087376225,0.790864308105687,0.505212220729462
"29",1938,0.215796897038082,0.200282087447109,-0.0155148095909732,0.0153671171075838,0.619047619047619,0.784832451499118,0.165784832451499
"30",1941,0.163521800433108,0.222983046731116,0.0594612462980078,0.0702521740158949,0.396378333315746,0.994428205101147,0.598049871785401
"31",1943,0.201086956521739,0.203804347826087,0.00271739130434781,0.0336295518092105,0.509868421052632,0.792763157894737,0.282894736842105
"32",1944,0.114072229140722,0.135429638854296,0.0213574097135741,0.0976077717347257,0.122817955112219,0.795667082294264,0.672849127182045
"33",1946,0.176470588235294,0.270053475935829,0.0935828877005348,0.0630675924721408,0.475073313782991,1.00879765395894,0.533724340175953
"34",1947,0.152795031055901,0.209937888198758,0.0571428571428572,0.0488492116037736,0.50188679245283,0.867924528301887,0.366037735849057
